@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

hayes-roth,1,10,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,10,3,0,76.923077,23.076923,0,0.645455,0.307213,0.353661,70.819801,75.926517,20.131632,12.064958,8.066674,1.548587,0.928074,0.620513,8.108177,0.623706,40.275808,0.6,3,0.125,1,0.875,7,0.4,2,0.75,0.6,0.666667,0.500694,0.925,0.902857,0.769231,0.144231,0.855769,0.230769,0.775641,0.769231,0.7669,0.629784,0.942308,0.925275,0.79798,0.769231,0.007,0.001,0,0,0,0,22295,9968,2654,100,97.435897,?,?
hayes-roth,2,1,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,118,14,11,3,0,78.571429,21.428571,0,0.647059,0.314778,0.362794,72.779905,78.152963,21.527705,13.643813,7.883892,1.537693,0.974558,0.563135,7.883892,0.563135,36.622073,0.8,4,0,0,1,9,0.2,1,1,0.8,0.888889,0.848528,0.988889,0.966667,0.785714,0.160714,0.839286,0.214286,0.857143,0.785714,0.76746,0.693491,0.946925,0.9375,0.72963,0.785714,0.011,0.001,0,0,0,0,22087,9899,2723,100,95.238095,?,?
hayes-roth,2,2,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,118,14,11,3,0,78.571429,21.428571,0,0.674419,0.311911,0.358103,72.117002,77.142396,21.527705,13.15928,8.368424,1.537693,0.939949,0.597745,8.368424,0.597745,38.872813,0.5,3,0,0,1,8,0.5,3,1,0.5,0.666667,0.603023,0.9375,0.915079,0.785714,0.119048,0.880952,0.214286,0.866071,0.785714,0.774725,0.703259,0.957341,0.943197,0.811966,0.785714,0.013,0.001,0,0,0,0,22247,9899,2723,100,92.857143,?,?
hayes-roth,2,3,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,8,5,0,61.538462,38.461538,0,0.398148,0.332341,0.384972,76.612288,82.648702,20.131632,13.542279,6.589353,1.548587,1.041714,0.506873,6.63495,0.510381,32.957834,0.2,1,0.125,1,0.875,7,0.8,4,0.5,0.2,0.285714,0.10113,0.775,0.70873,0.615385,0.240385,0.759615,0.384615,0.636752,0.615385,0.569231,0.42126,0.875,0.83138,0.6,0.615385,0.006,0,0.015625,0,15.625,0,22252,9968,2654,100,97.435897,?,?
hayes-roth,2,4,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,9,4,0,69.230769,30.769231,0,0.509434,0.291356,0.355257,67.164368,76.269181,20.131632,12.024618,8.107015,1.548587,0.924971,0.623617,8.182858,0.629451,40.64677,1,5,0.375,3,0.625,5,0,0,0.625,1,0.769231,0.625,0.925,0.925,0.692308,0.192308,0.807692,0.307692,0.759615,0.692308,0.667653,0.554585,0.944231,0.923718,0.645299,0.692308,0.004,0,0,0,0,0,22172,9968,2654,100,92.307692,?,?
hayes-roth,2,5,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,11,2,0,84.615385,15.384615,0,0.763636,0.320297,0.368516,73.835924,79.11569,20.131632,12.685612,7.44602,1.548587,0.975816,0.572771,7.479973,0.575383,37.155321,0.8,4,0.125,1,0.875,7,0.2,1,0.8,0.8,0.8,0.675,0.925,0.902857,0.846154,0.096154,0.903846,0.153846,0.846154,0.846154,0.846154,0.75,0.903846,0.860714,0.866667,0.846154,0.004,0,0.015625,0,15.625,0,22439,9968,2654,100,100,?,?
hayes-roth,2,6,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,10,3,0,76.923077,23.076923,0,0.645455,0.304193,0.351575,70.123567,75.478876,20.131632,11.891995,8.239637,1.548587,0.914769,0.633818,8.355028,0.642694,41.50199,1,5,0.375,3,0.625,5,0,0,0.625,1,0.769231,0.625,0.8875,0.835,0.769231,0.144231,0.855769,0.230769,0.855769,0.769231,0.746407,0.6786,0.932692,0.899176,0.78022,0.769231,0.004,0,0,0,0,0,22300,9968,2654,100,100,?,?
hayes-roth,2,7,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,11,2,0,84.615385,15.384615,0,0.763636,0.280665,0.326034,64.699767,69.995522,20.131632,10.760116,9.371516,1.548587,0.827701,0.720886,9.434135,0.725703,46.862247,1,5,0.25,2,0.75,6,0,0,0.714286,1,0.833333,0.731925,1,1,0.846154,0.096154,0.903846,0.153846,0.89011,0.846154,0.839744,0.778748,1,1,0.861111,0.846154,0.003,0.001,0,0,0,0,22391,9968,2654,100,97.435897,?,?
hayes-roth,2,8,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,7,6,0,53.846154,46.153846,0,0.25,0.352917,0.407028,81.355466,87.383884,20.131632,15.224474,4.907158,1.548587,1.171113,0.377474,5.130118,0.394624,25.482871,0.8,4,0.375,3,0.625,5,0.2,1,0.571429,0.8,0.666667,0.414758,0.8625,0.844444,0.538462,0.288462,0.711538,0.461538,?,0.538462,?,?,0.859615,0.823871,?,0.538462,0.004,0,0.015625,0,15.625,0,21970,9968,2654,100,94.871795,?,?
hayes-roth,2,9,weka.classifiers.meta.RandomCommittee,'-S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.RandomFerns -- -S 1 -size 2',-9204394360557300093,20220614.0305,119,13,9,4,0,69.230769,30.769231,0,0.509434,0.316502,0.362608,72.961054,77.847403,20.131632,12.680486,7.451146,1.548587,0.975422,0.573165,7.451146,0.573165,37.01213,0.8,4,0.375,3,0.625,5,0.2,1,0.571429,0.8,0.666667,0.414758,0.9625,0.926667,0.692308,0.192308,0.807692,0.307692,0.758242,0.692308,0.679487,0.540764,0.971154,0.949817,0.655556,0.692308,0.005,0.001,0,0,0,0,22119,9968,2654,100,97.435897,?,?
